season,playerId,firstName,lastName,avgPoints,avgRebounds,avgAssists
1946-47,76137,"Moe","Becker",2.00,0.00,0.00
1946-47,76254,"Al","Brightman",10.42,0.00,0.00
1946-47,76255,"Audley","Brindley",0.50,0.00,0.00
1946-47,76322,"Tommy","Byrnes",8.50,0.00,0.00
1946-47,76408,"Marion","Cluggish",6.50,0.00,0.00
1946-47,76432,"Chuck","Connors",3.73,0.00,0.00
1946-47,76470,"Hal","Crisler",0.00,0.00,0.00
1946-47,76498,"Howie","Dallmar",8.17,0.00,0.00
1946-47,76653,"Don","Eliason",0.00,0.00,0.00
1946-47,76706,"Bill","Fenley",4.43,0.00,0.00
1946-47,76720,"Bob","Fitzgerald",1.33,0.00,0.00
1946-47,76721,"Jerry","Fleishman",5.08,0.00,0.00
1946-47,76757,"Frido","Frey",2.00,0.00,0.00
1946-47,76764,"Joe","Fulks",20.58,0.00,0.00
1946-47,76780,"Jack","Garfinkel",5.25,0.00,0.00
1946-47,76836,"Leo","Gottlieb",4.09,0.00,0.00
1946-47,76863,"Wyndol","Gray",5.89,0.00,0.00
1946-47,76909,"Matt","Guokas",3.13,0.00,0.00
1946-47,77011,"Sidney","Hertzberg",6.00,0.00,0.00
1946-47,77027,"Art","Hillhouse",4.92,0.00,0.00
1946-47,77031,"Mel","Hirsch",2.67,0.00,0.00
1946-47,77035,"Adolph","Hoefer",6.43,0.00,0.00
1946-47,77221,"Ralph","Kaplowitz",7.58,0.00,0.00
1946-47,77222,"Tony","Kappen",4.67,0.00,0.00
1946-47,77237,"Gerard","Kelly",6.33,0.00,0.00
1946-47,77291,"Lee","Knorek",13.50,0.00,0.00
1946-47,77304,"Harold","Kottman",2.33,0.00,0.00
1946-47,77453,"Frank","Mangiapane",2.00,0.00,0.00
1946-47,77598,"Nat","Militzok",2.56,0.00,0.00
1946-47,77660,"Bob","Mullens",2.50,0.00,0.00
1946-47,77671,"John","Murphy",2.00,0.00,0.00
1946-47,77672,"Dick","Murphy",1.00,0.00,0.00
1946-47,77677,"Angelo","Musi",9.17,0.00,0.00
1946-47,77793,"John","Palmer",10.63,0.00,0.00
1946-47,78017,"Alexander","Rosenberg",3.22,0.00,0.00
1946-47,78019,"Hank","Rosenstein",4.40,0.00,0.00
1946-47,78043,"Jerry","Rullo",1.78,0.00,0.00
1946-47,78078,"Ossie","Schectman",7.00,0.00,0.00
1946-47,78115,"George","Senesky",6.75,0.00,0.00
1946-47,78131,"Fred","Sheffield",1.25,0.00,0.00
1946-47,78153,"Connie","Simmons",9.17,0.00,0.00
1946-47,78154,"Johnny","Simmons",4.67,0.00,0.00
1946-47,78226,"Art","Spector",5.40,0.00,0.00
1946-47,78276,"Stan","Stutz",9.58,0.00,0.00
1946-47,78401,"Butch","Van Breda Kolff",3.00,0.00,0.00
1946-47,78411,"Virgil","Vaughn",4.00,0.00,0.00
1946-47,78443,"Michael","Wallace",5.40,0.00,0.00
1947-48,76139,"Hank","Beenders",1.00,0.00,0.00
1947-48,76188,"Mike","Bloom",8.50,0.00,0.00
1947-48,76243,"Carl","Braun",14.25,0.00,0.00
1947-48,76285,"Stan","Brown",4.14,0.00,0.14
1947-48,76322,"Tommy","Byrnes",5.73,0.00,0.00
1947-48,76432,"Chuck","Connors",0.00,0.00,0.00
1947-48,76479,"Francis","Crossin",1.93,0.00,0.07
1947-48,76498,"Howie","Dallmar",10.56,0.00,0.19
1947-48,76649,"Eddie","Ehlers",5.69,0.00,0.00
1947-48,76721,"Jerry","Fleishman",7.88,0.00,0.19
